Vc_V,Vc_mV,Vsense_ideal_mV,Vsense_floored_mV,Error_mV,Region_code,Region_desc,LT1970_floor_OK,LT1970_linear_OK
0.000000,0.00,0.0000,4.0000,4.0000,0,INVALID floor (Vc<40mV),YES,N/A
0.010000,10.00,1.0000,4.0000,3.0000,0,INVALID floor (Vc<40mV),YES,N/A
0.020000,20.00,2.0000,4.0000,2.0000,0,INVALID floor (Vc<40mV),YES,N/A
0.030000,30.00,3.0000,4.0000,1.0000,0,INVALID floor (Vc<40mV),YES,N/A
0.040000,40.00,4.0000,4.0000,0.0000,1,NONLINEAR <60mV,YES,N/A
0.050000,50.00,5.0000,5.0000,0.0000,1,NONLINEAR <60mV,YES,N/A
0.060000,60.00,6.0000,6.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.070000,70.00,7.0000,7.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.080000,80.00,8.0000,8.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.090000,90.00,9.0000,9.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.100000,100.00,10.0000,10.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.110000,110.00,11.0000,11.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.120000,120.00,12.0000,12.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.130000,130.00,13.0000,13.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.140000,140.00,14.0000,14.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.150000,150.00,15.0000,15.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.160000,160.00,16.0000,16.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.170000,170.00,17.0000,17.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.180000,180.00,18.0000,18.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.190000,190.00,19.0000,19.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.200000,200.00,20.0000,20.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.210000,210.00,21.0000,21.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.220000,220.00,22.0000,22.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.230000,230.00,23.0000,23.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.240000,240.00,24.0000,24.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.250000,250.00,25.0000,25.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.260000,260.00,26.0000,26.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.270000,270.00,27.0000,27.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.280000,280.00,28.0000,28.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.290000,290.00,29.0000,29.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.300000,300.00,30.0000,30.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.310000,310.00,31.0000,31.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.320000,320.00,32.0000,32.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.330000,330.00,33.0000,33.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.340000,340.00,34.0000,34.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.350000,350.00,35.0000,35.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.360000,360.00,36.0000,36.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.370000,370.00,37.0000,37.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.380000,380.00,38.0000,38.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.390000,390.00,39.0000,39.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.400000,400.00,40.0000,40.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.410000,410.00,41.0000,41.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.420000,420.00,42.0000,42.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.430000,430.00,43.0000,43.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.440000,440.00,44.0000,44.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.450000,450.00,45.0000,45.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.460000,460.00,46.0000,46.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.470000,470.00,47.0000,47.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.480000,480.00,48.0000,48.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.490000,490.00,49.0000,49.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.500000,500.00,50.0000,50.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.510000,510.00,51.0000,51.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.520000,520.00,52.0000,52.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.530000,530.00,53.0000,53.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
0.540000,540.00,54.0000,54.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
