setpoint_V,target_k2_uV,mean_uV,rms_uV,sigma_uV,U_k2_uV,p2_5_uV,p97_5_uV,worst_uV,headroom_k2_%,headroom_worst_%
0.000,500.0,-1.27,215.03,215.14,430.06,-405.34,419.39,581.46,14.0,-16.3
0.100,520.0,-0.73,217.03,217.13,434.05,-411.81,413.68,609.17,16.5,-17.1
-0.100,520.0,-1.10,222.60,222.71,445.20,-418.83,410.76,591.23,14.4,-13.7
0.500,600.0,2.99,218.62,218.71,437.24,-408.32,402.21,658.08,27.1,-9.7
-0.500,600.0,-0.00,218.12,218.23,436.25,-418.24,418.50,621.05,27.3,-3.5
1.000,700.0,15.26,225.16,224.75,450.32,-411.59,438.99,633.64,35.7,9.5
-1.000,700.0,18.16,219.58,218.94,439.17,-421.90,431.20,630.90,37.3,9.9
2.000,900.0,9.19,230.33,230.26,460.66,-424.71,443.71,598.56,48.8,33.5
-2.000,900.0,3.22,229.00,229.09,458.00,-405.40,455.02,626.33,49.1,30.4
5.000,1500.0,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,100.0,100.0
-5.000,1500.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,100.0
