setpoint_V,target_k2_uV,mean_uV,rms_uV,sigma_uV,U_k2_uV,p2_5_uV,p97_5_uV,worst_uV,headroom_k2_%,headroom_worst_%
0.000,500.0,37.82,891.70,891.34,1783.40,-1518.27,1558.00,1845.73,-256.7,-269.1
0.100,520.0,53.71,900.58,899.43,1801.17,-1448.41,1575.77,1841.81,-246.4,-254.2
-0.100,520.0,37.30,895.95,895.62,1791.91,-1510.12,1521.55,1923.13,-244.6,-269.8
0.500,600.0,37.88,936.32,936.02,1872.64,-1644.95,1717.51,2234.23,-212.1,-272.4
-0.500,600.0,34.39,932.40,932.23,1864.80,-1693.46,1662.89,2257.13,-210.8,-276.2
1.000,700.0,40.01,1066.15,1065.94,2132.31,-2001.10,2014.95,2832.80,-204.6,-304.7
-1.000,700.0,29.23,1057.15,1057.28,2114.31,-1943.81,1960.33,2634.05,-202.0,-276.3
2.000,900.0,48.94,1468.04,1467.95,2936.07,-2864.52,2799.79,3551.87,-226.2,-294.7
-2.000,900.0,47.92,1431.06,1430.97,2862.12,-2594.65,2786.13,3634.01,-218.0,-303.8
5.000,1500.0,33.84,3020.61,3021.94,6041.23,-5395.42,5334.45,6624.66,-302.7,-341.6
-5.000,1500.0,65.93,2983.42,2984.18,5966.84,-5308.41,5251.98,6536.91,-297.8,-335.8
