setpoint_V,target_k2_uV,mean_uV,rms_uV,sigma_uV,U_k2_uV,p2_5_uV,p97_5_uV,worst_uV,headroom_k2_%,headroom_worst_%
0.000,500.0,0.40,15.21,15.22,30.43,-28.00,29.47,42.93,93.9,91.4
0.100,520.0,0.47,15.07,15.07,30.15,-27.13,29.82,41.75,94.2,92.0
-0.100,520.0,0.42,14.80,14.80,29.59,-27.85,28.91,46.51,94.3,91.1
0.500,600.0,-0.33,14.98,14.98,29.95,-28.55,27.98,41.43,95.0,93.1
-0.500,600.0,0.45,14.90,14.90,29.80,-28.40,28.36,41.64,95.0,93.1
1.000,700.0,0.13,15.30,15.30,30.59,-29.60,29.27,42.57,95.6,93.9
-1.000,700.0,0.29,14.65,14.66,29.31,-28.12,28.54,39.62,95.8,94.3
2.000,900.0,-0.13,15.41,15.42,30.82,-28.03,30.78,46.87,96.6,94.8
-2.000,900.0,1.12,15.66,15.63,31.31,-29.89,30.18,43.05,96.5,95.2
5.000,1500.0,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,100.0,100.0
-5.000,1500.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,100.0
