Vset_V,Rload_Ohm,Iload_mA,err_uncal_uV,err_cal_uV,cal_benefit_uV
-5,100,-50.000,-20.0,-224.0,204.0
-5,1000,-5.000,430.0,226.0,204.0
-5,10000,-0.500,475.0,271.0,204.0
-5,1000000,-0.005,480.0,276.0,204.0
-2,100,-20.000,80.0,-124.0,204.0
-2,1000,-2.000,260.0,56.0,204.0
-2,10000,-0.200,278.0,74.0,204.0
-2,1000000,-0.002,280.0,76.0,204.0
-1,100,-10.000,180.0,-24.0,204.0
-1,1000,-1.000,270.0,66.0,204.0
-1,10000,-0.100,279.0,75.0,204.0
-1,1000000,-0.001,280.0,76.0,204.0
-0.5,100,-5.000,230.0,26.0,204.0
-0.5,1000,-0.500,275.0,71.0,204.0
-0.5,10000,-0.050,279.5,75.5,204.0
-0.5,1000000,-0.001,280.0,76.0,204.0
-0.1,100,-1.000,270.0,66.0,204.0
-0.1,1000,-0.100,279.0,75.0,204.0
-0.1,10000,-0.010,279.9,75.9,204.0
-0.1,1000000,-0.000,280.0,76.0,204.0
0,100,0.000,280.0,76.0,204.0
0,1000,0.000,280.0,76.0,204.0
0,10000,0.000,280.0,76.0,204.0
0,1000000,0.000,280.0,76.0,204.0
0.1,100,1.000,290.0,86.0,204.0
0.1,1000,0.100,281.0,77.0,204.0
0.1,10000,0.010,280.1,76.1,204.0
0.1,1000000,0.000,280.0,76.0,204.0
0.5,100,5.000,330.0,126.0,204.0
0.5,1000,0.500,285.0,81.0,204.0
0.5,10000,0.050,280.5,76.5,204.0
0.5,1000000,0.001,280.0,76.0,204.0
1,100,10.000,380.0,176.0,204.0
1,1000,1.000,290.0,86.0,204.0
1,10000,0.100,281.0,77.0,204.0
1,1000000,0.001,280.0,76.0,204.0
2,100,20.000,480.0,276.0,204.0
2,1000,2.000,300.0,96.0,204.0
2,10000,0.200,282.0,78.0,204.0
2,1000000,0.002,280.0,76.0,204.0
5,100,50.000,980.0,776.0,204.0
5,1000,5.000,530.0,326.0,204.0
5,10000,0.500,485.0,281.0,204.0
5,1000000,0.005,480.1,276.1,204.0
