Vset_V,Rload_Ohm,Iload_mA,err_uncal_uV,err_cal_uV,cal_benefit_uV
-5,100,-50.000,-249.0,-244.7,-4.3
-5,1000,-5.000,-24.0,-19.7,-4.3
-5,10000,-0.500,-1.5,2.8,-4.3
-5,1000000,-0.005,0.9,5.2,-4.3
-2,100,-20.000,-99.0,-94.7,-4.3
-2,1000,-2.000,-9.0,-4.7,-4.3
-2,10000,-0.200,0.0,4.3,-4.3
-2,1000000,-0.002,1.0,5.3,-4.3
-1,100,-10.000,-48.6,-44.3,-4.3
-1,1000,-1.000,-3.6,0.7,-4.3
-1,10000,-0.100,0.9,5.2,-4.3
-1,1000000,-0.001,1.4,5.7,-4.3
-0.5,100,-5.000,-22.9,-18.6,-4.3
-0.5,1000,-0.500,-0.4,3.9,-4.3
-0.5,10000,-0.050,1.8,6.1,-4.3
-0.5,1000000,-0.001,2.1,6.4,-4.3
-0.1,100,-1.000,-1.6,2.7,-4.3
-0.1,1000,-0.100,2.9,7.2,-4.3
-0.1,10000,-0.010,3.4,7.7,-4.3
-0.1,1000000,-0.000,3.4,7.7,-4.3
0,100,0.000,4.0,8.2,-4.3
0,1000,0.000,4.0,8.2,-4.3
0,10000,0.000,4.0,8.2,-4.3
0,1000000,0.000,4.0,8.2,-4.3
0.1,100,1.000,8.4,12.7,-4.3
0.1,1000,0.100,3.9,8.2,-4.3
0.1,10000,0.010,3.5,7.8,-4.3
0.1,1000000,0.000,3.4,7.7,-4.3
0.5,100,5.000,27.1,31.4,-4.3
0.5,1000,0.500,4.6,8.9,-4.3
0.5,10000,0.050,2.3,6.6,-4.3
0.5,1000000,0.001,2.1,6.4,-4.3
1,100,10.000,51.4,55.7,-4.3
1,1000,1.000,6.4,10.7,-4.3
1,10000,0.100,1.9,6.2,-4.3
1,1000000,0.001,1.4,5.7,-4.3
2,100,20.000,101.0,105.3,-4.3
2,1000,2.000,11.0,15.3,-4.3
2,10000,0.200,2.0,6.3,-4.3
2,1000000,0.002,1.0,5.3,-4.3
5,100,50.000,251.0,255.3,-4.3
5,1000,5.000,26.0,30.3,-4.3
5,10000,0.500,3.5,7.8,-4.3
5,1000000,0.005,1.0,5.3,-4.3
