Vset_V,Rload_Ohm,Iload_mA,err_uncal_uV,err_cal_uV,cal_benefit_uV
-5,100,-50.000,-145.0,-140.0,-5.0
-5,1000,-5.000,-10.0,-5.0,-5.0
-5,10000,-0.500,3.5,8.5,-5.0
-5,1000000,-0.005,5.0,10.0,-5.0
-2,100,-20.000,-55.0,-50.0,-5.0
-2,1000,-2.000,-1.0,4.0,-5.0
-2,10000,-0.200,4.4,9.4,-5.0
-2,1000000,-0.002,5.0,10.0,-5.0
-1,100,-10.000,-25.0,-20.0,-5.0
-1,1000,-1.000,2.0,7.0,-5.0
-1,10000,-0.100,4.7,9.7,-5.0
-1,1000000,-0.001,5.0,10.0,-5.0
-0.5,100,-5.000,-10.0,-5.0,-5.0
-0.5,1000,-0.500,3.5,8.5,-5.0
-0.5,10000,-0.050,4.9,9.9,-5.0
-0.5,1000000,-0.001,5.0,10.0,-5.0
-0.1,100,-1.000,2.0,7.0,-5.0
-0.1,1000,-0.100,4.7,9.7,-5.0
-0.1,10000,-0.010,5.0,10.0,-5.0
-0.1,1000000,-0.000,5.0,10.0,-5.0
0,100,0.000,5.0,10.0,-5.0
0,1000,0.000,5.0,10.0,-5.0
0,10000,0.000,5.0,10.0,-5.0
0,1000000,0.000,5.0,10.0,-5.0
0.1,100,1.000,8.0,13.0,-5.0
0.1,1000,0.100,5.3,10.3,-5.0
0.1,10000,0.010,5.0,10.0,-5.0
0.1,1000000,0.000,5.0,10.0,-5.0
0.5,100,5.000,20.0,25.0,-5.0
0.5,1000,0.500,6.5,11.5,-5.0
0.5,10000,0.050,5.2,10.2,-5.0
0.5,1000000,0.001,5.0,10.0,-5.0
1,100,10.000,35.0,40.0,-5.0
1,1000,1.000,8.0,13.0,-5.0
1,10000,0.100,5.3,10.3,-5.0
1,1000000,0.001,5.0,10.0,-5.0
2,100,20.000,65.0,70.0,-5.0
2,1000,2.000,11.0,16.0,-5.0
2,10000,0.200,5.6,10.6,-5.0
2,1000000,0.002,5.0,10.0,-5.0
5,100,50.000,155.0,160.0,-5.0
5,1000,5.000,20.0,25.0,-5.0
5,10000,0.500,6.5,11.5,-5.0
5,1000000,0.005,5.0,10.0,-5.0
